Brand;Model;Engine;Year;Km;City;Price;Link
Lexus;GX 460 II Рестайлинг 2;4.6 л / 296 л.с. / Бензин;2023;1 000 км;Новосибирск;11 210 000 ;https://auto.ru/cars/used/sale/lexus/gx/1116032707-b6f7020f/
Kia;Sportage V;2.0 л / 150 л.с. / Бензин;2023;1 000 км;Омск;3 120 000 ;https://auto.ru/cars/used/sale/kia/sportage/1119206659-3db24722/
Kia;Sportage V;2.0 л / 150 л.с. / Бензин;2023;1 000 км;Омск;3 430 000 ;https://auto.ru/cars/used/sale/kia/sportage/1119206656-176a0e15/
Toyota;Land Cruiser Prado 150 Series Рестайлинг 3;2.7 л / 163 л.с. / Бензин;2023;1 000 км;Омск;8 870 000 ;https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1119206654-b262ae43/
Toyota;Camry US Market VIII (XV70) Рестайлинг;2.5 л / 202 л.с. / Бензин;2023;1 000 км;Омск;4 710 000 ;https://auto.ru/cars/used/sale/toyota/camry/1119206646-daf4d01c/
Hyundai;Tucson IV;2.0 л / 150 л.с. / Бензин;2023;1 000 км;Омск;3 380 000 ;https://auto.ru/cars/used/sale/hyundai/tucson/1119206644-ff9f1852/
Changan;UNI-V;1.5 л / 181 л.с. / Бензин;2023;Новый;Новосибирск;2 690 000 ;https://auto.ru/cars/new/group/changan/uni_v/23385682/23502672/1119165772-60344d50/
Changan;CS55PLUS I Рестайлинг;1.5 л / 181 л.с. / Бензин;2023;Новый;Новосибирск;2 600 000 ;https://auto.ru/cars/new/group/changan/cs55plus/23443579/23443834/1119010397-d91387a2/
Changan;UNI-K;2.0 л / 226 л.с. / Бензин;2023;Новый;Новосибирск;4 790 000 ;https://auto.ru/cars/new/group/changan/uni_k/22843647/23327300/1118975421-934babd1/
Changan;CS35PLUS I Рестайлинг;1.4 л / 150 л.с. / Бензин;2023;Новый;Новосибирск;2 330 000 ;https://auto.ru/cars/new/group/changan/cs35plus/23442593/23442958/1118967903-68758bfb/
Changan;UNI-K;2.0 л / 226 л.с. / Бензин;2023;Новый;Новосибирск;4 840 000 ;https://auto.ru/cars/new/group/changan/uni_k/22843647/23327300/1118967902-e90f4682/
Changan;CS35PLUS I;1.6 л / 117 л.с. / Бензин;2023;Новый;Новосибирск;2 050 000 ;https://auto.ru/cars/new/group/changan/cs35plus/21641219/21641269/1118527177-6e944af6/
Changan;CS35PLUS I Рестайлинг;1.4 л / 150 л.с. / Бензин;2023;Новый;Новосибирск;2 320 000 ;https://auto.ru/cars/new/group/changan/cs35plus/23442593/23442958/1118527172-1fd3bfa4/
Changan;UNI-V;1.5 л / 181 л.с. / Бензин;2023;Новый;Новосибирск;2 720 000 ;https://auto.ru/cars/new/group/changan/uni_v/23385682/23502672/1118527171-44ed0e49/
УАЗ;Pickup Евро-2 I Рестайлинг 2;2.7 л / 150 л.с. / Бензин;2023;Новый;Красноярск;1 580 000 ;https://auto.ru/cars/new/group/uaz/pickup/23424808/23424824/1117857969-6866abe2/
Chery;Tiggo 4 Pro;1.5 л / 147 л.с. / Бензин;2023;Новый;Новосибирск;2 090 000 ;https://auto.ru/cars/new/group/chery/tiggo_4_pro/23364381/23377743/1117203752-4e27e237/
Chery;Tiggo 4 Pro;1.5 л / 113 л.с. / Бензин;2023;Новый;Новосибирск;1 900 000 ;https://auto.ru/cars/new/group/chery/tiggo_4_pro/23364382/23377740/1117741155-0b817475/
Chery;Tiggo 4 Pro;1.5 л / 113 л.с. / Бензин;2023;Новый;Новосибирск;1 930 000 ;https://auto.ru/cars/new/group/chery/tiggo_4_pro/23364382/23377740/1117736891-b2b66d42/
Porsche;Cayenne GTS III;4.0 л / 460 л.с. / Бензин;2023;1 000 км;Москва;16 000 000 ;https://auto.ru/cars/used/sale/porsche/cayenne/1119204965-263dfebb/
LADA;(ВАЗ) Niva Legend;1.7 л / 83 л.с. / Бензин;2023;10 000 км;Ижевск;850 000 ;https://auto.ru/cars/used/sale/vaz/niva_legend/1119149545-d5005a1d/
